imdbID,Title,Note
tt3606756,Incredibles 2,"2018-09-27 | Unglaublichen 2, Die (2D/3D)"
tt0353774,Venom,2018-10-03 | Venom (2D/3D) (IMAX)
tt5311542,Werk ohne Autor,2018-10-03
tt5222768,Croc-Blanc,"* 2018-10-04 | Abenteuer von Wolfsblut, Die"
tt7733426,"Defekte Katze, Die",2018-10-04
tt7286916,"Dawn Wall, The",2018-10-04 | Durch die Wand
tt6506276,Lemonade,2018-10-04
tt1517451,"Star is born, A",2018-10-04
tt8055880,Waldheims Walzer,2018-10-04
tt8804436,Why are we creative?,* 2018-10-04
tt3645988,Abgeschnitten,2018-10-11
tt5271906,Everywhere we are,* 2018-10-11 | Überall wo wir sind
tt6628394,Bad Times at the El Royale,2018-10-11
tt0072125,Elternschule,2018-10-11
tt1308728,"Happytime Murders, The",2018-10-11
tt4240910,"Legende vom hässlichen König, Die",2018-10-11
tt6182908,Smallfoot (3D),2018-10-11
tt5971724,Seed,"2018-10-11 | Unser Saatgut - Wir ernten, was wir säen"
